model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr,1.0,accuracy,0.024683713912963867,0.39808225631713867,0.024683713912963867,0.39808225631713867,1,True,2
WeightedEnsemble_L2,1.0,accuracy,0.025890350341796875,0.4292573928833008,0.0,0.02199864387512207,2,True,5
RandomForestGini,1.0,accuracy,0.025890350341796875,0.4072587490081787,0.025890350341796875,0.4072587490081787,1,True,1
ExtraTreesGini,0.5,accuracy,0.025058269500732422,0.38190460205078125,0.025058269500732422,0.38190460205078125,1,True,3
ExtraTreesEntr,0.5,accuracy,0.026119470596313477,0.35755133628845215,0.026119470596313477,0.35755133628845215,1,True,4
